ticker,risk_tier,risk_label,risk_score,prob_low,prob_medium,prob_high,environmental_score,social_score,governance_score,total_esg_score,esg_rating,controversy_score,carbon_intensity,water_usage_score,country,sector,action,allocation,alert,review,esg_status,fund_eligible,reason,alternative,return_5d,return_20d,return_60d,return_200d,vol_20d,vol_60d,momentum_60d,momentum_200d,rsi_14,macd,max_drawdown,vol_ratio_20d,price_52w_high,price_52w_low,range_52w_pct,latest_price,emb_norm,emb_pc1,emb_pc2,emb_pc3,risk_color,sector_risk_pct,overall_risk_pct,as_of_date
AAL.L,1,Medium,48.421,0.1274,0.8495,0.0231,63.89,51.0,69.85,61.81,AA,42.29,585.93,35.51,UK,UK_Materials,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,0.06828,0.01212,0.01684,0.62134,0.032201,0.028507,-0.02997,0.15721,50.52,-38.50553,-0.59914,2.1692,4084.97,1063.0,2.8429,3270.0,6.762597708166916,2.754422519827477,-0.5696534107205384,2.9879706474823915,#f39c12,0.2857,0.7775,2026-04-27
AAPL,0,Low,29.841,0.8833,0.0936,0.0231,65.05,48.64,73.25,62.59,AA,33.29,47.53,23.96,USA,Technology,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,0.02786,-0.02455,-0.02047,0.29348,0.012887,0.015762,-0.0234,0.0164,50.75,-1.66451,-0.33361,0.467,285.92,33.77,7.4672,253.5,9.28453003219233,1.349781381309992,3.44673800425184,-1.8021177559881427,#27ae60,0.7931,0.261,2026-04-27
ABB.NS,1,Medium,45.242,0.0461,0.9407,0.0132,34.28,38.08,44.17,38.39,BB,25.79,260.7,64.65,India,India_Industrial,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,0.02686,0.05735,0.19992,0.04439,0.020147,0.023669,0.09501,0.15329,51.78,68.44261,-0.51596,1.3957,8936.04,706.42,11.6497,6269.0,6.977710628934323,0.3105325607514914,0.5486470498074851,3.643918445796103,#f39c12,0.3,0.7115,2026-04-27
ABF.L,1,Medium,39.368,0.1021,0.8979,0.0,36.89,47.0,64.63,48.25,BBB,40.9,62.71,75.81,UK,UK_Finance,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,0.02035,0.0037,0.00937,-0.07684,0.011521,0.011773,-0.00792,-0.09323,49.08,-8.42585,-0.54307,0.8297,2736.11,1235.59,1.2144,1876.42,3.800281065559495,-1.66964714340262,-1.0672348225854984,-0.6505539466234859,#f39c12,1.0,0.5769,2026-04-27
ABT,0,Low,26.986,0.9925,0.0075,0.0,59.97,75.38,59.46,64.44,AA,26.25,53.62,47.65,USA,Healthcare,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,-0.00049,-0.09605,-0.18889,-0.22013,0.010324,0.01737,-0.08301,-0.17369,49.68,-2.61743,-0.33877,2.1381,137.64,56.46,1.4379,101.83,4.242174719848369,-1.43272579723358,-0.7476136509506947,-2.79952284012505,#27ae60,0.4211,0.1538,2026-04-27
ADANIGREEN.NS,1,Medium,54.216,0.0925,0.8679,0.0395,16.18,28.37,32.48,24.73,B,46.27,117.34,66.84,India,India_Energy,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,0.11153,0.04613,-0.09226,-0.06719,0.030227,0.034374,0.01816,-0.05747,54.46,-9.163,-0.8444,2.0004,2970.5,30.25,97.1983,925.35,9.427510654193737,0.2908969789536786,0.0158936328897312,2.3709734190188705,#f39c12,0.8,0.9148,2026-04-27
ADANIPOWER.NS,1,Medium,47.086,0.0518,0.9217,0.0266,39.47,64.97,39.94,47.26,BBB,44.24,273.9,54.35,India,India_Utilities,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,0.06133,0.16594,0.10715,0.45093,0.024875,0.025203,0.12503,0.17998,57.1,4.43045,-0.6778,0.7082,174.9,5.13,33.0936,163.36,9.158279408867529,-1.1248779609014277,1.851277111096393,-0.4680173849354254,#f39c12,0.2857,0.75,2026-04-27
ADBE,1,Medium,35.304,0.2907,0.7093,0.0,57.3,52.25,66.07,58.42,A,39.94,93.47,69.37,USA,Technology,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,-0.00411,-0.14977,-0.29171,-0.36478,0.022487,0.023158,-0.10994,-0.26424,48.65,-7.47755,-0.65885,1.937,688.37,215.7,2.1913,240.14,5.368466478072674,-0.2351012053609436,-1.742588754074352,-2.9698749575189423,#f39c12,1.0,0.456,2026-04-27
AEP,1,Medium,53.125,0.0033,0.9967,0.0,15.96,50.99,63.38,40.7,BBB,51.57,298.23,42.57,USA,Utilities,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,0.01373,0.00804,0.15562,0.34526,0.010447,0.010934,0.05383,0.14673,49.01,0.93035,-0.32905,1.1472,134.15,56.39,1.3792,132.92,4.219400004691837,-2.767967944270819,-0.1192167907763938,1.821613575843664,#f39c12,0.8,0.8874,2026-04-27
AJG,0,Low,22.383,0.9792,0.0208,0.0,47.42,63.86,81.17,62.48,AA,8.77,39.77,17.97,USA,Finance,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,0.0075,-0.00096,-0.17504,-0.30852,0.016913,0.0217,-0.04205,-0.18158,47.74,-1.16482,-0.40881,1.9789,345.35,63.7,4.4218,217.57,4.340358511134431,-1.0125287558434943,-0.9839294772613034,-2.634699437318059,#27ae60,0.2105,0.0412,2026-04-27
ALB,1,Medium,54.365,0.048,0.9322,0.0198,32.5,44.57,60.49,44.52,BBB,31.89,617.56,59.58,USA,Materials,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,-0.02082,0.02589,0.09886,1.95339,0.029293,0.037599,0.00777,0.46821,50.29,2.1092,-0.83904,0.8916,309.92,47.32,5.5495,173.53,6.9812423379420165,-0.1877800447644502,1.871774131645492,2.8220592320560827,#f39c12,0.55,0.9203,2026-04-27
ALKEM.NS,0,Low,32.95,0.8879,0.1121,0.0,55.33,54.94,56.54,55.57,A,29.94,67.7,54.63,India,India_Healthcare,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,-0.03218,-0.06802,-0.06093,0.07742,0.015287,0.017651,-0.06558,-0.03652,51.84,-78.51722,-0.27748,0.7658,6255.54,1550.78,3.0338,5172.5,4.183281886922207,-0.5391600993494456,-0.4507499188164801,0.5748742390569577,#27ae60,0.8,0.3819,2026-04-27
AMAT,0,Low,28.768,0.9908,0.0092,0.0,50.04,62.38,64.71,58.15,A,22.15,52.18,58.93,USA,Technology,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,0.09653,0.04535,0.25959,1.0624,0.030345,0.033887,0.0373,0.41649,51.46,0.68639,-0.55139,0.8259,394.95,29.23,12.5121,354.31,16.03455686008029,8.86433141585238,11.946411593279374,-2.748824086167,#27ae60,0.6897,0.2225,2026-04-27
AMD,0,Low,31.719,0.8865,0.1102,0.0033,60.86,50.44,62.23,58.14,A,29.81,74.97,60.86,USA,Technology,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,0.13002,0.093,0.08232,0.74722,0.030803,0.040652,0.03677,0.11982,53.17,2.6513,-0.6545,0.5443,264.33,17.05,14.5032,221.53,8.475795567875508,3.110974775259756,5.551362013699861,-2.7698641629291902,#27ae60,0.8966,0.3516,2026-04-27
AME,1,Medium,47.543,0.0033,0.9967,0.0,31.22,47.65,47.21,40.95,BBB,44.49,180.57,40.82,USA,Industrial,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,0.04502,-0.03099,0.03835,0.23083,0.01472,0.01433,-0.02186,0.0942,50.04,-2.07786,-0.42719,1.1084,241.08,55.96,3.3083,217.75,3.570594648877864,-2.6997693815909862,-0.2586764864063258,0.8427564094170605,#f39c12,0.6316,0.7582,2026-04-27
AMGN,0,Low,18.917,0.9655,0.0345,0.0,54.42,75.23,78.49,67.88,AA,3.41,55.45,29.19,USA,Healthcare,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,-0.02579,-0.09807,0.0371,0.20013,0.010629,0.01817,-0.04772,0.07474,51.67,-5.60145,-0.2486,0.9785,388.16,135.33,1.8682,340.0,4.648327401672149,-0.6992377354411041,0.3491408899660312,-2.0806139532412566,#27ae60,0.0526,0.0082,2026-04-27
AMT,1,Medium,41.199,0.0405,0.9595,0.0,31.62,50.44,53.32,43.78,BBB,36.09,94.35,44.34,USA,RealEstate,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,0.02184,-0.0673,0.02202,-0.17708,0.016237,0.018276,-0.03327,-0.07926,49.61,-2.86539,-0.45344,1.5952,264.79,130.5,1.029,174.08,3.6099210837037106,-2.5017750486555763,-0.6408606024710106,-0.5420586561322558,#f39c12,1.0,0.6236,2026-04-27
AMZN,0,Low,33.013,0.8428,0.1572,0.0,61.23,39.69,54.64,52.79,A,6.11,271.31,77.28,USA,Consumer,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,0.0638,0.00131,-0.13204,0.00588,0.018476,0.019019,-0.02009,-0.04799,50.13,-0.89342,-0.56145,0.63,254.0,75.01,2.386,213.77,6.800266014729653,-0.4621160150762288,1.9021896724513128,-1.9680737767965268,#27ae60,0.35,0.3846,2026-04-27
ANANTRAJ.NS,1,Medium,43.051,0.083,0.917,0.0,54.26,47.2,53.39,51.88,A,44.81,203.53,34.04,India,India_RealEstate,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,0.05065,-0.06578,-0.21488,-0.16749,0.040088,0.032742,-0.10188,-0.18185,55.53,-17.11751,-0.63232,1.447,934.43,6.0,154.6934,459.45,15.099757473233899,4.563068663272601,0.2081367873726256,1.5313794056058423,#f39c12,1.0,0.6511,2026-04-27
ANTO.L,1,Medium,56.751,0.0223,0.9215,0.0562,22.9,55.06,61.89,44.24,BBB,38.48,618.29,22.79,UK,UK_Materials,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,0.06261,-0.07156,-0.00072,1.04761,0.038807,0.038508,-0.0572,0.22182,51.38,-102.25375,-0.48452,0.871,4455.0,610.96,6.2918,3470.5,7.055012436161804,2.058794270505372,0.7989908914001868,4.067335000118907,#f39c12,0.8571,0.9451,2026-04-27
AON,0,Low,23.003,1.0,0.0,0.0,60.42,67.43,88.29,70.89,AAA,25.54,31.1,82.09,USA,Finance,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,-0.00491,-0.03116,-0.08381,-0.07891,0.01709,0.01945,-0.02372,-0.07249,49.4,-1.56825,-0.38727,1.0798,407.61,134.14,2.0386,322.47,4.057765892803671,-1.2067383377878576,-0.5573997084288461,-2.725017075270283,#27ae60,0.3158,0.0577,2026-04-27
APA,1,Medium,57.476,0.0188,0.9679,0.0133,11.6,37.95,49.42,30.85,BB,65.74,162.07,45.09,USA,Energy,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,-0.01783,0.3182,0.70944,1.18865,0.023009,0.025114,0.36437,0.72332,50.64,3.17432,-0.88836,1.3273,45.18,3.46,12.0512,42.96,10.261205461549059,-0.475656700381873,3.0936138738660683,7.096507778183789,#f39c12,0.9412,0.9505,2026-04-27
